package_name,resource_id,title_de,format,url,media_type,issued,modified,license,has_stac,is_service
invasive-gebietsfremde-pflanzen-potentialkarte-amerikanische-kermesbeere,ca6f3cfe-3662-49ef-b3aa-d71d660a7597,ch.bafu.neophyten-amerikanische_kermesbeere,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2015-04-02T00:00:00,2015-04-02T00:00:00,terms_open,false,false
invasive-gebietsfremde-pflanzen-potentialkarte-amerikanische-kermesbeere,78a6ead0-1df1-4bf3-9a3b-1417a86cddb1,ch.bafu.neophyten-amerikanische_kermesbeere,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2015-04-02T00:00:00,2015-04-02T00:00:00,terms_open,false,false
invasive-gebietsfremde-pflanzen-potentialkarte-amerikanische-kermesbeere,78c7182f-2836-4d76-b54c-cb8ebc1d66a3,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.neophyten/items/neophyten-amerikanische_kermesbeere,,2015-04-02T00:00:00,2015-04-02T00:00:00,terms_open,true,false
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha8,1918b020-82b5-4b59-bbc2-50570af1e443,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.erosion-gruenland_bodenabtrag_aug,text/html,2019-04-01T00:00:00,2019-06-27T00:00:00,terms_open,false,false
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha8,2e2c3ad9-9e0c-4b6b-95bb-5131e91be5d2,ch.bafu.erosion-gruenland_bodenabtrag_aug,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2019-04-01T00:00:00,2019-06-27T00:00:00,terms_open,false,false
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha8,9bd23801-232a-43d5-9a5d-27bae72b2c54,ch.bafu.erosion-gruenland_bodenabtrag_aug,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2019-04-01T00:00:00,2019-06-27T00:00:00,terms_open,false,false
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha8,48735239-88b5-4bc9-aca3-375bb6a52994,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.erosion-gruenland_bodenabtrag/items/erosion-gruenland_bodenabtrag_aug,,2019-04-01T00:00:00,2019-06-27T00:00:00,terms_open,true,false
hydrologische-stationen-mit-vorhersagen,60d29520-55b0-43f7-8d95-67846102ca9e,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.hydroweb-messstationen_vorhersage,text/html,2015-01-30T00:00:00,,terms_open,false,false
hydrologische-stationen-mit-vorhersagen,f6154526-c746-4c4c-8428-e8ba8c69facc,ch.bafu.hydroweb-messstationen_vorhersage,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2015-01-30T00:00:00,,terms_open,false,false
hydrologische-stationen-mit-vorhersagen,b5f4c7b9-74f5-42e3-bdff-b4c9d83519e6,,OCTET,https://data.geo.admin.ch/ch.bafu.hydroweb-messstationen_vorhersage/data.zip,,2015-01-30T00:00:00,,terms_open,false,false
hydrologische-stationen-mit-vorhersagen,bc5d4dbc-e566-42c9-b870-53d4080bb959,,OCTET,http://www.hydrodaten.admin.ch,,2015-01-30T00:00:00,,terms_open,false,false
schutzgebiete-der-zivilen-luftfahrthindernispublikation-jagdbanngebiete,c4c83b82-e1cf-41dc-b370-4898a316d7e1,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.schutzgebiete-aulav_jagdbanngebiete,text/html,2023-07-01T00:00:00,2023-07-01T00:00:00,terms_open,false,false
schutzgebiete-der-zivilen-luftfahrthindernispublikation-jagdbanngebiete,e6fadc4b-e373-48cd-b11a-d62a5957405f,ch.bafu.schutzgebiete-aulav_jagdbanngebiete,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2023-07-01T00:00:00,2023-07-01T00:00:00,terms_open,false,false
schutzgebiete-der-zivilen-luftfahrthindernispublikation-jagdbanngebiete,4eaa4eda-7dbe-40bd-a110-fed7decfe9b5,ch.bafu.schutzgebiete-aulav_jagdbanngebiete,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2023-07-01T00:00:00,2023-07-01T00:00:00,terms_open,false,false
schutzgebiete-der-zivilen-luftfahrthindernispublikation-jagdbanngebiete,43a4fd95-08a3-426a-a2e1-667d438049e4,,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.schutzgebiete-aulav,,2023-07-01T00:00:00,2023-07-01T00:00:00,terms_open,true,false
schutzgebiete-der-zivilen-luftfahrthindernispublikation-jagdbanngebiete,89e9c4f4-231f-4cd0-ba9b-b6c86148f4fe,RESTful API von geo.admin.ch,XML,https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bafu.schutzgebiete-aulav_jagdbanngebiete,application/xml,2023-07-01T00:00:00,2023-07-01T00:00:00,terms_open,false,false
invasive-gebietsfremde-pflanzen-potentialkarte-vielblattrige-lupine,3b86f5de-75bc-4508-b1c8-c50a96fe0b54,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.neophyten-vielblaettrige_lupine,text/html,2015-04-02T00:00:00,2015-04-02T00:00:00,terms_open,false,false
invasive-gebietsfremde-pflanzen-potentialkarte-vielblattrige-lupine,a42a06b3-7ab7-4a6f-8358-3992ca08c84f,ch.bafu.neophyten-vielblaettrige_lupine,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2015-04-02T00:00:00,2015-04-02T00:00:00,terms_open,false,false
invasive-gebietsfremde-pflanzen-potentialkarte-vielblattrige-lupine,2fe3ad07-7c9b-4881-9a30-e5d60bb13c45,ch.bafu.neophyten-vielblaettrige_lupine,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2015-04-02T00:00:00,2015-04-02T00:00:00,terms_open,false,false
invasive-gebietsfremde-pflanzen-potentialkarte-vielblattrige-lupine,693ba9dd-c35c-48da-ac9c-1d0e69e143a9,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.neophyten/items/neophyten-vielblaettrige_lupine,,2015-04-02T00:00:00,2015-04-02T00:00:00,terms_open,true,false
